Name,Author,FullName,Description,Depends,StdLink
OglGlut,Eugene Temirgaleev,GLUT interface as an addition to the Ogl subsystem.,"GLUT is the OpenGL Utility Toolkit, a window system independent toolkit for writing OpenGL programs. It implements a simple windowing application programming interface (API) for OpenGL. See http://www.opengl.org/resources/libraries/glut/.

GLUT is not open source. Mark Kilgard maintains the copyright.

The distribution consists of:


the source codes of the GLUT interface for BlackBox 1.5-1.6 (Windows only).
interface module to the DLL glut32.dll (isn't distributed with Windows, see Installation).
brief documentation and the Russian translation of Ogl documentation.
several auxiliary modules and example programs.


",,http://www.zinnamturm.eu/pac/OglGlut.pac
Omi,Dominik Gruntz,Change the subsystem name in forms.,"Is there any way to do a search & replace (e.g. for a changed subsystem name) in forms/tool dialogs? Yes, that is possible. You simply have to iterate over the content of a container and ask each view for the control properties and change those accordingly.

Below you find a simple module which performs this task. A source string is replaced by a new string in the link, label, guard and notifier fields.

Subsystem Omi is useful for BlackBox 1.3.x. At BlackBox 1.4 this feature exist already in menu [Layout].

",,http://www.zinnamturm.eu/pac/Omi.pac
Onedim,Günther Sawitzki,Diagnostic Plots for One-Dimensional Data.,"This is a loose leaf collection of work sheets on common (or not so common) diagnostic plots, built up to help in every day consulting. The collection is presented in as an active document, allowing to use your own data or your simulations.

You found some links about statistics servers at http://www.statlab.uni-heidelberg.de/WWW/servers.html.

",,http://www.zinnamturm.eu/pac/Onedim.pac
Oop,Helmut Zinn,OOP Examples for Beginners.,"How to getting started with Object Oriented programming and runtime polymorphism? Here are two examples written in Component Pascal.

OO Shape Example.

Shapes provides an abstract interface for supporting graphical IO methods. You found examples written in other languages at Chris Rathman's website http://www.angelfire.com/tx4/cus/shapes/. Also have a look at Jim Weirich's page http://onestepback.org/articles/poly/ for this topic.

OO Collection Example.

Collections shows how to write data to files and read them back from files. Attila Truszek ported the implementation of Collections from Borland Pascal 7.0 to Oberon/F and I translated them from Oberon/F to Component Pascal (BlackBox 1.5).

",,http://www.zinnamturm.eu/pac/Oop.pac
Opal,Helmut Zinn and Juan Antonio Ortega,Oberon Portable Applications Library.,"The Opal Library is a part of Pow. Pow is an free Oberon-2 compiler with integrated programming environment. You can download Pow including source code from http://www.fim.uni-linz.ac.at/pow/pow.htm.

I translated the Opal Library to Component Pascal for BlackBox and Juan Antonio Ortega gets the whole subsystem running. The modules String, Float and Utils runs inside the Blackbox environment. All other modules runs as stand alone applications only. We recommend to link the programs into a separate exe file to execute them.

",,http://www.zinnamturm.eu/pac/Opal.pac
Oss,Koen Desaeger,Oberon-0 Compiler for BlackBox.,"Port to BlackBox of the Oberon-0 compiler from the book 'Compiler Construction' by N. Wirth.

",,http://www.zinnamturm.eu/pac/Oss.pac
Output,Martin Fisher,A second log window.,"Output is a simple set of commands for controlling a window called Output, along with a few other miscellaneous commands that I find useful for programme output. Output acts like a second log window, and can be written to using the exported variable outputFmtr-, which is of type LibFmtrs.Fmtr from Robert Campbell's Lib Subsystem. The Output window can be set to open automatically when BlackBox starts.

There is a set of exported parameters (variable prms) that can be altered using the dialog box. Some of these parameters alter things that happen in the Output window (e.g. if the BOOLEAN prms.cmntBold is enabled, then text written with OutputCmds.OWrtCmnt will be in bold), others provide useful facilities that may or may not involve the Output windows (e.g. if the BOOLEAN prms.beep is enabled then the line OutputCmds.Beep will cause the system beep to sound, and if prms.beep is disabled then obviously nothing happens), and others provide facilities that involve the Log window (e.g. if prms.timer is enabled then OutputCmds.StartTimer will initialize the timer with LibTimer.Reset and OutputCmds.EndTimer will finish it and write the elapsed time to the log).

I use two types of text when writing to the Output window: 'text' for the majority of the output, and 'comment' text for headings. Use of prms.comment enables one to determine whether headings are used or not (try using OutputDemo.Demo1 with and without prms.comment enabled).

",Ctls Lib,http://www.zinnamturm.eu/pac/Output.pac
P2o,Chris F. Burrows,Pascal to Oberon Translator (P2o).,"P2o is a program that converts Pascal Source Code into Oberon Source Code. P2o is written in Component Pascal. This version is for use with Oberon Microsystems BlackBox Component Builder v1.5 (BB).

What it does:


Translates Jensen & Wirth Pascal or ISO 7185 Standard Pascal syntax to the Oberon equivalent
Converts keywords to uppercase
Converts enumerated types to equivalent CONST declarations
Makes the case of identifiers consistent with their declarations
Converts subranges to INTEGER
Expands variant records
Expands WITH statements which use non-structured record variables. Others are commented.


What it does not do:


Translate LABELs and GOTO statements
Convert Array indices. However, the brackets are removed from array declarations
Translate FORWARD procedures and functions
Convert Read and Write statements


There is also a version for use with Queensland University of Technology's (QUT) Gardens Point Component Pascal v1.3.4 (GPCP). The GPCP version runs as a command-line (console) program on Microsoft Windows with the .NET 2.0 Framework runtime installed. For further details go to http://www.cfbsoftware.com/gpcp

",,http://www.zinnamturm.eu/pac/P2o.pac
Pac,Gérard Meunier,Data compression utility (Burrows / Wheeler or LZ77 + adaptative Huffman coding).,"This program implements a new algorithm for data compression (Burrows / Wheeler + adaptative Huffman coding). With this new algorithm, and the ability of grouping small files before compressing them, this new release achieves one of the best compression ratio available today. The old algorithm (LZ77 + adaptative Huffman coding) is still provided.

Pac ranks now among the 100 best compressors. You see more about it at http://www.maximumcompression.com/.

",,http://www.zinnamturm.eu/pac/Pac.pac
Pbox,Stan Warford,Introduction into Computer Science.,"These files are the source code for the programs of the chapters of the book ""Computing Fundamentals: The Theory and Practice of Software Design with BlackBox Component Builder"", published by Vieweg Verlag, 2002. They can be decoded and used with the Oberon microsystems BlackBox Component Builder.

The software is encoded in standard BlackBox ascii format. You will need to install BlackBox on your system to decode the software. See the first few chapters of ""Computing Fundamentals"" for a guide to using the source code.

Addendum 2014: The book Computing Fundamentals has been out of print for some time. As the rights have reverted to me, I decided to place the complete text in the public domain with the hope that the BlackBox community will find it of some value. I welcome you comments.

",,http://www.zinnamturm.eu/pac/Pbox.pac
Pep6,Stan Warford,Pep/6 simulator.,"An educational project for teaching principles of computer organization to university students. It has an assembler and a machine simulator with trace facilities.

This release of the Pep/6 system is intended to be used in conjunction with the textbook Computer Systems, J.Stanley Warford, Jones & Bartlett Publishers, 2nd edition.

The book describes the Pep/6 computer, which was designed to teach principles of computer organization. This program simulates the execution of Pep/6 by allowing the user to write assembly language programs, translate them to machine language, and execute them. It includes a trace mode for visualizing the registers in the CPU and user selected locations in main memory.

",,http://www.zinnamturm.eu/pac/Pep6.pac
Pic,Helmut Zinn,A small extensible Vector Graphic Editor.,"The starting point was a BlackBox Workshop by Oberon Microsystems. I extend the result. Now I can create, load and save the graphic view. There I can insert points, lines, squares, rectangles, circles, ellipses and strings. Selected figures can be moved, copied and set their properties. Cut, Paste and Delete are not implemented yet. All operations are undoable.

",,http://www.zinnamturm.eu/pac/Pic.pac
Plot,Gérard Meunier,Curve plotter.,"This program is a starting point for a collection of 2D plotting tools. By now, it implements plotting of individual points (e.g. experimental results) and of functions of one variable in Cartesian coordinates, but the aim is to develop this collection.

",Ctls Babel,http://www.zinnamturm.eu/pac/Plot.pac
Pom,Wojtek Skulski,Persistent Object Manager.,"A tool to organize several objects such as histograms into a tree structure similar to the Windows Explorer. The user can open graphical views of collected data by double-clicking on the object icons. The entire tree can be saved to disk as a binary file with an extension "".pom"". The data file can be read back into the Pom at a later time. Pom has been used to manage tens of thousands histograms acquired in an experiment. I use Pom in my laboratory practice. You find slides and further information at http://www.pas.rochester.edu/~skulski/.

",,http://www.zinnamturm.eu/pac/Pom.pac
Pow,Dan Popa,Pascal of the 3d milenium (Computer programming with Oberon-2).,"The course was used during the previous 4 years in Bacau University by Lect. drd. Dan Popa. The software support was provided by University of Linz. It consists of POW-IDE and the Oberon Compiler.

Despite the existence of best programming environments used by engineers all over the world like BlackBox - which is also based on Oberon, this course was replaced by a Visual C course. That is why this e-book becomes available as Open Doc.

If you want to use Pow! for programming you can download it from: http://www.fim.uni-linz.ac.at/pow/Download.htm. Pow may also be used with C++ and Java.

",,http://www.zinnamturm.eu/
Prettify,Carl Glassberg,Coco pretty-printer grammars for Component Pascal.,"Prettify provides 3 pretty printer (PP) tools for formatting correct Component Pascal programs:


Formatting with comment output (ComponentPascalC.atg)
Remove End Comments (RemoveEndComments.atg)
Remove All Comments (ComponentPascalNC.atg).


The Prettify commands accept a pre-comment, which precedes the start of a module. Post text, which follows a Component Pascal module, is also accepted. Post text is converted into a comment by enclosing it with open and close comment delimiters.

When formatting, Prettify commands unfortunately remove hyperlinks, commander tool buttons, etc. present in the input.

Colorization is deliberately exaggerated to show program structure: reserved words and punctuation, etc. The main function of the pretty-printers are to insert line breaks and perform indentation of program structures. It is recommended, as a final step, to run Cpc -> ""Beautify"" on the output of Prettify commands.

The tools use modified Coco scanners. Extended Latin-1 characters are allowed in identifiers. Additionally, Unicode is allowed in strings and comments. Comments can contain horizontal tab (9X), cr (0DX) and para (0EX) characters. Strings can contain horizontal tab characters.

The behavior of the pretty-printers are controlled by the embedded semantic actions in the respective Coco (ATG) grammars. If changes to formatting are desired, this is the only portion of a grammar that should be modified.

",,http://www.zinnamturm.eu/pac/Prettify.pac
Probability,Mary Kynn,Visualising probability.,"Tools for visualizing probabilities are based on a betting scenario where the assessor should determine whether they would prefer to bet on the event in question or on the shaded section of the wheel, bar or sample. The shaded section should be adjusted until the assessor is indifferent to the two bets (that is, the event has the same probability of occuring as the shaded section).

The wheel, bar and sample can be manipulated via the mouse and the keyboard. Clicking and dragging the mouse across the tools will increase or decrease the shaded section, as will the arrows on the keyboard. To display the probabilities double click the tool.

",Elicitor,http://www.zinnamturm.eu/pac//Probability.pac
Prolog,Gérard Meunier,Prolog Interpreter.,"This program provides a Prolog machine, able to run Prolog programs. It's a simplification of Prolog II, one of the first Prolog interpreter available with a slightly different syntax.

",,http://www.zinnamturm.eu/pac/Prolog.pac
Race,Gérard Meunier,Race.,"Race is a game of race on circuit by turns, which can be played alone or not. You found an exe file ready for running at http://gemeu.free.fr/Race.exe for the French version, and http://gemeu.free.fr/en/Race.exe for the English one.

",,http://www.zinnamturm.eu/pac/Race.pac
Reg,Werner Bossert,Reading windows registry with BlackBox.,"This program reads and edits registry entries. It uses new BlackBox 1.4 facilities TreeControls and StdTables.

",,http://www.zinnamturm.eu/pac/Reg.pac
Rng,Helmut Zinn,Random Number Generator.,"The subsystem Rng provides 28 different random number generators and some programs for analysing them.


Linear Congruential Generator (Cray, Excel, Minstd, Pbox, Randu, Slatec, Vax)
Lagged Fibonacci Generator (Ran3, Ranlux, Uni, Zufall)
Shift Register Generator (Aos, Gfsr4, Issac, R250)
Combination Generator (Ecuyer, Fib, Kiss123, Ranmar, Shuffle)
Multiply Recursive Generator (Knuth, Mrg)
Multiply with carry Generator (Mwc)
Xor Shift Generator (Xor4096)
Mersenne Twister Generator (MT19937)
Twisted GFSR Generator (TT800)
Tausworthe Generator (Taus113, Taus88)


Further this subsystem contains some tests for analysing this random number generators:


Summary Statistics
Speedtest
Run Sequence Plot
The Lag Plot
The Bitmap Plot
Plane Plot


You can proof all random number generators with this tests and find the two really bad ones.

",Ctls Util,http://www.zinnamturm.eu/pac/Rng.pac
Scl,Dmitry V. Dagaev,Standard Container Library.,"Standard Container Library package implements vectors, lists, queues, stacks, maps without any generics. It uses BlackBox Kernel metadata structs to safely resize dynamically allocated contents. The main principle is that the same tasks use the same software. For example, the Scl lists work with list of records, no matter whether those records contain strings or integers.

",,http://www.zinnamturm.eu/pac/Scl.pac
Sdl,Oleg N. Cher,Simple DirectMedia Layer bindings for Oberon.,"Simple DirectMedia Layer (www.libsdl.org) bindings for Oberon family languages: Modula-2 and Oberon-2 (XDS), Active Oberon (OPCL, ETH Oberon) and Component Pascal (BlackBox Component Builder). Supported SDL version 1.2.15 (stable).

This project is similar to the subsystem Free. You find the bindings for Component Pascal at the official web-site: http://sourceforge.net/projects/sdl-for-oberon/

",,http://www.zinnamturm.eu/
Shapes,Stan Warford,Renders primitive shapes.,"I have always wanted a graphics editor with BlackBox and never had the time to work on one. I developed a module named ShapesDraw, however, that could serve to render primitive shapes for the editor.

It exports the following procedures:


Arc, a 90 degree arc
RoundedRect, a rectangle with rounded corners
Arrow, an arrow with a solid shaft
PathArrow, an arrow with a hollow interior
Pie, a segment of a pie chart
Sin, an efficient computation of sine
Cos, an efficient computation of cosine


I think the arrow routines are particularly nice, as you can specify the exact shape of the arrowheads. You can even put them on either or both ends of a Bezier curve. Integer arithmetic is used for efficiency, and angles are specified to a precision of 1/64 of one degree. The module is well-documented. It has a suite of test programs including some with animation. The BlackBox system is particularly nice, as you get resolution-independent rendering for hardcopy output. Anyone is welcome to use the module as one of the building blocks of a BlackBox editor.

",,http://www.zinnamturm.eu/pac/Shapes.pac
Sphere,Gérard Meunier,Positions of charged particles on a sphere.,"This program computes and displays graphically the positions of identical electrically charged particles able to slide on a sphere and at rest.

",,http://www.zinnamturm.eu/pac/Sphere.pac
SQLite,"Peter Cushnir, Ivan A. Kuzmitskiy, Manuel Martín Sánchez and Josef Templ",Using SQLite with BlackBox.,"SQLite is a software library that implements a self-contained, serverless, transactional SQL database engine. Unlike most other databases, SQLite does not have a separate server process. SQLite reads and writes directly to ordinary disk files.

SQLite is an embedded relational database engine. SQLite understands most of the standard SQL-92 language. But it does omit some features while at the same time adding a few features of its own.

This SQLite driver based on example by PGR: http://forum.oberoncore.ru/viewtopic.php?f=5&t=497&p=16450&hilit=sqlite#p16450

",,http://www.zinnamturm.eu/pac/SQLite.pac
SQLiteBrowser,Gerhard Marent,Browser for SQLite.,"SQLiteBrowser adds a browser tool with inbuild query archive to the SQLite system.

",SQLite,http://www.zinnamturm.eu/pac/SQLiteBrowser.pac
Srcnav,Guy Laden and Josef Templ,Component Pascal Source Code Navigator.,"This Navigator tool was conceived as a simple tool for easing the editing of large module texts by providing a fast way to locate procedure definitions. On activation of the Navigator from the BlackBox text editor, a dialog box appears listing the procedures defined in the module. Once a procedure is selected from the list, the text scrolls to the selected procedure and the signature is selected. For large modules this process is usually significantly faster than using the usual caret movement or search facilities provided by the editor.

Even though the list of procedures presented by the Navigator is much shorter than the module text, it can be quite long too. It is useful to be able to shorten the list by filtering from it procedures that aren't of interest. The Navigator supports several predefined types of filters and a search box that supports * as a wild-card.

",,http://www.zinnamturm.eu/pac/Srcnav.pac
State,René A. Krywult,3D Programming for Windows.,"Welcome to 3D Programming using the 3DSTATE Engine in Component Pascal. Whether you are an experienced game designer or looking to produce your first 3D game, this subsystem is for you. In a very short time, you will be using the 3DSTATE Engine to create rich and exciting 3D games with beautiful graphics and state-of-the-art performance. While mastering a 3D graphics API can take years, the 3DSTATE Engine will have you writing games within weeks. Combined with the power of Component Pascal and the Blackbox, programming high-end 3D applications and games becomes easy.

Please note also, that the subsystem State is a substitute for the Morfit subsystem, which gives access to the Morfit engine version 3.0. The Morfit engine was renamed in Version 4 to 3DState, and the current State subsystem gives access to the 3DState engine version 6.0.

Since these are only the interface modules, nothing will work without first downloading and installing the 3DState engine. For further information see Quick-Start of State and look at http://www.3dstate.com/'.


StateD is the primary interface
StateCameras imbeds the StateD engine in the BB framework
State/Templates/Template is a template for using StateCameras


",,http://www.zinnamturm.eu/pac/State.pac
StdBackgrounder,Robert D. Campbell,Set Background Colour in Views.,"StdBackgrounder is a simple example of implementing a 'Wrapper'. It is used to add a background colour to arbitrary Views embedded into a Text Document.

",,http://www.zinnamturm.eu/pac/StdBackgrounder.pac
Sudoku,Gérard Meunier,Sudoku Builder & Solver.,"Sudoku can build easy and hard Sudoku puzzles. It can also solve any Sudoku puzzle at once or step by step. The engine of Sudoku is a Knuth's algorithm, Dancing Links, that may be used to solve many problems besides Sudoku. So, I've inserted it in the Util subsystem. You found an exe file ready for running at http://gemeu.free.fr/Sudoku.exe for the French version, and http://gemeu.free.fr/en/Sudoku.exe for the English one.

",,http://www.zinnamturm.eu/pac/Sudoku.pac
Ta_,Dmitry V. Dagaev,Transparent Architecture - communication SW for distributed systems.,"This software is purposed for communication between different programs, written in Oberon and C. It uses SRPS protocol type for LANs via UDP multicast, UDP, TCP, Shared Memory, PING for ICMP and SOAP/HTTP for WANs.

TA is distributed in BlackBox, XDS and C versions both for Windows and Linux compatible with each other at http://sourceforge.net/projects/ta1/.

",,http://www.zinnamturm.eu/pac/Ta_.pac
Tabmult,Gérard Meunier,Multiplication tables training.,"Have you forgotten your multiplication tables? Or, maybe, have you children? Try this program and adopt it! The program remembers your good and bad answers. It will ask you more often the questions you don't know. There exists a French version, an English and a German one in the same package. There is also a Make.odc file, which uses the new packing feature of the BlackBox 1.4 version, and generates a stand-alone exe file.

",,http://www.zinnamturm.eu/pac/Tabmult.pac
TboxAnmeldebilder,Helmut Zinn,Saving the Spotlight Images from Windows 10 Lock Screen.,"On the Windows lock screen the pictures are automatically changing. It's called Windows Spotlight. This module saves the lock screen images in your own directory. You can use the result as desktop wallpaper and for slideshow.

",,http://www.zinnamturm.eu/pac/TboxAnmeldebilder.pac
TboxBirthday,Helmut Zinn,Birthday reminder.,"Did you ever forget the birthday of your friend? Then you need this little program. When some friends have birthday today then it pops up during the start of Blackbox. Further you can generate a 30 days look ahead list.

",,http://www.zinnamturm.eu/pac/TboxBirthday.pac
TboxBook,Helmut Zinn,Writing books with BlackBox.,"The module TboxBook expands the BlackBox text editor with some useful commands:


Create title line
Collect all title lines and write the table of contents
Insert a ruler with n tab stops
Change word to lowercase, uppercase or capital letter
Create internet or document links
Insert special characters and symbols


That's all you need for writing documents with table of contents and hyperlinks. It makes the life much easier.

",,http://www.zinnamturm.eu/pac/TboxBook.pac
TboxCoderList,Helmut Zinn,Generate a package list for StdCoded and PacCoded files.,"This module generate the list of all source files of one subsystem automatically. You can select all items of this list and use the menu [Tools][Encode File List] to create a StdCoded file of your subsystem.

",Ctls CpcMenus,http://www.zinnamturm.eu/pac/TboxCoderList.pac
TboxCompFile,Gérard Meunier,Binary compare file.,"Are you interested by this little module? It asks for two files and tests their equality at a binary level. I use it to test whether Pac works well or not. As it is interesting in a general way, perhaps you'd like to use it.

",,http://www.zinnamturm.eu/pac/TboxCompFile.pac
TboxCountDown,Helmut Zinn,How many days are left until...?,"This module will answer that questions into the Log window.

",,http://www.zinnamturm.eu/pac/TboxCountDown.pac
TboxHexConv,Helmut Zinn,Read and write hex dump.,"This is an extension of Oberon Microsystems hex file importer. It optionally outputs the printable representation in columns or lines in addition to the hex codes. In its default configuration it behaves exactly like the original. The original importer is from the Bernhard Treutwein's More utilities for BlackBox. I add an hex file exporter too. You can save the modified hex-code.

",,http://www.zinnamturm.eu/pac/TboxHexConv.pac
TboxPhoto,Helmut Zinn,All picture files rename to increasing sequential numbers.,"I organize my photo archive in the following way: I create one folder for every year. This folder containing a folder for each month. After downloading the picture (*.jpg) from the camera into one folder, I delete all bad ones and then I rename the other ones with this procedure. It is still possible to download new picture into the same folder and rename them with this procedure again.

",Ctls TboxTimer Dos Pac,http://www.zinnamturm.eu/pac/TboxPhoto.pac
TboxTeaTime,Helmut Zinn,Tea Time Alarm Clock.,"Do you have a bug in your program? Let's have a break. It's tea time now. Is there any tea left? Do you need another cup of tea? Certainly you need the tea time alarm clock. We say in Germany: to wait and see (abwarten und Tee trinken). I'm sure after that break you find your bug immediately.

",Babel Util Ctls Dos Pac,http://www.zinnamturm.eu/pac/TboxTeaTime.pac
TboxText,Helmut Zinn,Some Text Editing Commands.,"This module extend BlackBox with some basic text editing facilities. What it does:


Change Word to Capital Letter.
Change Word to Lower Case.
Change Word to Upper Case.
Character Conversion from IBM-PC Character Set to Unicode.
Character Conversion from ASCII Code Page Cyrillic to Unicode.
Turn RGB Color Defintion (exchange red with blue).
Create String List.
Sorting Text Lines.


I wrote this commands during my work on CpcLanguage. I used them with subsystem Omi together for creating and sorting Rsrc/Strings documents.

",,http://www.zinnamturm.eu/pac/TboxText.pac
TboxTimer,Helmut Zinn,Measure the runtime of one procedure/module.,"You can measure the run time of any module and procedure:
e.g. (!) ""TboxTimerStart; MySubsystem.MyCommand; TboxTimer.Stop""
The result is in the Log window.

",,http://www.zinnamturm.eu/pac/TboxTimer.pac
TboxTranslate,Helmut Zinn,Text Translation by Words.,"This module expand the Find and Replace command with a translation table. You can


Creating your own table.
Change between different table.
Adding a missing word to the table.
Using the translation table with Text -> Find / Replace... commands.


A existing translation table can also used in the reverse direction.

",Ctls Pac,http://www.zinnamturm.eu/pac/TboxTranslate.pac
Toolbar,Juan Antonio Ortega,Add a toolbar to the BlackBox window.,"Do you like toolbars? Do you miss toolbars inside BlackBox? Don't wait any longer. Download this subsystem. With this subsystem you can add a toolbar to the BlackBox Component Builder.

",,http://www.zinnamturm.eu/pac/Toolbar.pac
Tp2cp,Gérard Meunier and Helmut Zinn,Turbo Pascal to Component Pascal Translator.,"This software converts Turbo Pascal source program to Component Pascal (Oberon-2). All exported identifier collected into one symbol table. The symbol table is used for name translation.

It features:


Translate Turbo Pascal source to Component Pascal
Automatically adds subsystem names
Change exported names accordantly the symbol table
Optional translations of ReadLn and WriteLn


We recommend to format the result with the CpcBeautifier.

",UnicodeMappings Babel Util Ctls Pac,http://www.zinnamturm.eu/pac/Tp2cp.pac
Tpc,Rainer Neubauer,Support for Technical Process Control.,"Simple finite state machines (FSMs) are applied to implement complex process control algorithms, i.e. long running commands. Additional support is offered for handling of large configuration files, for saving of current process state and for serial communication (RS232 or TCP) to hardware devices (power supplies, measuring instruments, etc.) as well.

The overall concept is explained in an introductory text containing small worked examples. Additional examples have been implemented to play with and try out the supporting modules mentioned above.

TpcGenericFsms offers simple finite state machines for implementing process control algorithms, i.e. ""long running commands"". Support for debugging includes logging of state switching to StdLog, setting of break points at arbitrary states, single stepping from state to state and logging of state history. 

TpcConfigDataControl offers a means for maintaining configuration files by technical stuff without having knowledge to the develop environment of BlackBox (e.g. ""when and how to call the compiler""). The configuration data serve for parameterizing the technical process (e.g. hardware configuration).

TpcGenericStatusFiles supports in saving process status data to hard disk. In case of a computer crash followed by a reboot the technical process may be continued in the state like just before the interrupt.

TpcSerialDevices implements serial connections to hardware devices via RS232 or TCP. Commands to devices and answers from devices may be of fixed length or variable length with terminator characters. Master devices for control of hardware devices are available as are slave devices for simulation of hardware devices at an early phase of a project when hardware devices may not yet be available. Outgoing and incoming serial data may be logged to StdLog for debugging.

",,http://www.zinnamturm.eu/pac/Tpc.pac
Trf,Carl Glassberg,Text reader & formatter filter.,"Trf is the abbreviation for Text reader / formatter. The subsystem Trf contains the following modules:

TrfFilter copies from an open text view the printable (ASCII and Latin-1) characters + cr + ht + para to a new text view. Other control code characters and Unicode are converted to a string representation of the equivalent hexadecimal character constant.

TrfUnbeautify converts control characters (except for cr and para) and Unicode characters to space (20X). It deletes leading and trailing space, and squeezes adjacent space within a line to 1 space character (20X). It removes colorization and makes everything a monochrome color (blue). Horizontal formatting is squeezed but vertical formatting is preserved.

TrfCrush is similar to Unbeautify but additionally converts multiple adjacent end-of-line to 1 end-of-line. Vertical formatting is crunched and horizontal formatting is squeezed.

TrfText unfold input paragraphs of multiple lines of text into single-line paragraphs. Repeatedly running this command will turn all input text into a single line.

TrfNrLines number lines in a text file. The first line is numbered 0.

",,http://www.zinnamturm.eu/pac/Trf.pac
Ttf,Werner Bossert,"Ttf Covering (TrueType Fonts, OpenType File Format).","TtfCovering scans TrueType Fonts and OpenType Font respectively, of the file type TTF and TTC. TrueType Collections TTC contain several fonts. The table BlocksAndFontsTab displays Range, Block, number of characters covering a font and the name of the font. The module UnicodeFontsGen can be generated.

Covering fonts are in alphabetical order and ascending order of the number of covering characters unless other priorities are prefered. The table Covering BlocksTab shows all ranges, blocks and number of characters covering a selected font.

Blocks.txt of the Unicode Standard Version 15.0.0 is used for Ranges and Block names.

",Ctls UnicodeMappings Dos Pac,http://www.zinnamturm.eu/pac/Ttf.pac
UnicodeGenerators,Werner Bossert,Unicode Generators with Unicode Character Database.,"To extend mappings and requests of letters, numbers and symbols to the full Unicode range or to the Basic Multilingual Plane (BMP) or to a part of the Unicode range to handle languages, module generators use information of the UnicodeData.txt.

The Unicode Consortium publishes in the Unicode Character Database (UCD) the text file UnicodeData.txt.

UCD (Unicode Standard Version 15.0.0 released 13-September-2022): https://unicode.org/Public/UNIDATA/UnicodeData.txt
or look for the latest version of the UCD at https://www.unicode.org/Public/

UnicodeData.txt is the database for the module generators Unicode­XXXGenerator (Unicode­Case­Generator, Unicode­Case­GeneratorExt, Unicode­IsCase­Generator, Unicode­Letter­Generator, Unicode­Number­Generator, Unicode­Specials­Generator, Unicode­Arabic­Generator, Unicode­Decomposition­Generator, Unicode­Characters­Generator and Unicode­Bidirectional­Generator, Unicode­East­Asian­Width­Generator, Unicode­Math­Class­Generator, Unicode­Emojis­Generator). The generated auxiliary files are simplified by Unicode­NormXXX (Unicode­Norm­Case, Unicode­Norm­IsCase, Unicode­Norm­Letter, Unicode­Norm­Number, Unicode­Norm­Specials, Unicode­Norm­Arabic, Unicode­Norm­Decomposition100H, Unicode­Norm­Decomposition, Unicode­Norm­Decomposition­Iter, Unicode­Norm­Characters and Unicode­Norm­Bidirectional, Unicode­Norm­East­Asian­Width, Unicode­Norm­Math­Class, Unicode­Norm­Emojis.

The result are the modules Unicode­XXX_Mapping (Unicode­Case_MappingGen, Unicode­IsCase_Mapping, Unicode­Letter_Mapping, Unicode­Number_Mapping, Unicode­Specials_Mapping, Unicode­Arabic_Mapping, Unicode­Decomposition100H_Mapping, Unicode­Decomposition_Mapping, Unicode­Decomposition­Iter_Mapping, Unicode­Unassigned_Mapping, Unicode­Characters, Unicode­Bidirectional_Mapping, Unicode­East­Asian­With, Unicode­Math­Class_Mapping, Unicode­Emojis_Mapping). The procedures in the generated modules consist of a CASE statement. The case expression can be of type character or integer.

",,http://www.zinnamturm.eu/pac/UnicodeGenerators.pac
UnicodeMappings,Werner Bossert,Unicode Mappings with the generated Modules.,"UnicodeMappings provide mappers for upper, lower or title case mapping, and also provide converters from Unicode (UTF-8, UTF-16, UTF-32; little or big endian) to other encodings or vice versa. Further examples for mapping and decomposiion of Unicode are shown.

The base for the Unicode Mappings are the published Unicode Character Database (UCD) by the Unicode Consortium in

UCD (Unicode Standard Version 15.0.0 released 13-September-2022): https://unicode.org/Public/UNIDATA/UnicodeData.txt
or look for the latest version of the UCD at https://www.unicode.org/Public/

UnicodeMappings contains all modules generated in UnicodeGenerators. Some of the generated mapping modules have been further simplified by hand. The encoding converter UnicodeConverterDlg includes XML-Conversion. To recognize the encoding and the endianness (little-endian order or big-endian order) byte order mark (BOM) is used. For XML files existing encoding-declaration is used. Changing the encoding: The encoding declaration can be optionally adapted or inserted. UnicodeConv provides UTF-8 import and export by file with the uni and XML extension.

In UnicodeConverterTests a few examples for the encoding conversions are shown.

",Ctls Pac,http://www.zinnamturm.eu/pac/UnicodeMappings.pac
